,x
TCGA.A8.A09T.01A.11R.A00Z.07,1
TCGA.A8.A097.01A.11R.A034.07,1
TCGA.EW.A3E8.01B.11R.A24H.07,2
TCGA.BH.A18H.01A.11R.A12D.07,2
TCGA.A8.A091.01A.11R.A00Z.07,1
TCGA.A1.A0SQ.01A.21R.A144.07,1
TCGA.A2.A0SY.01A.31R.A084.07,1
TCGA.A8.A093.01A.11R.A00Z.07,1
TCGA.A2.A1FV.01A.11R.A13Q.07,1
TCGA.A7.A5ZX.01A.12R.A29R.07,1
TCGA.AC.A3QP.01A.11R.A22U.07,1
TCGA.B6.A0WT.01A.11R.A109.07,1
TCGA.EW.A1P3.01A.11R.A144.07,1
TCGA.A2.A0EW.01A.21R.A115.07,1
TCGA.E2.A15R.01A.11R.A115.07,1
TCGA.OL.A66K.01A.11R.A29R.07,1
TCGA.E2.A15D.01A.11R.A115.07,1
TCGA.GM.A2DA.01A.11R.A18M.07,1
TCGA.BH.A0HA.01A.11R.A12P.07,1
TCGA.A2.A0CS.01A.11R.A115.07,1
TCGA.E2.A156.01A.11R.A12D.07,1
TCGA.AC.A3HN.01A.11R.A213.07,1
TCGA.B6.A0RI.01A.11R.A056.07,1
TCGA.E2.A15C.01A.31R.A12D.07,1
TCGA.E9.A1NH.01A.11R.A14D.07,1
TCGA.AC.A3W7.01A.11R.A22K.07,1
TCGA.E9.A3X8.01A.31R.A22U.07,1
TCGA.BH.A1FH.01A.12R.A13Q.07,1
TCGA.E2.A15O.01A.11R.A115.07,1
TCGA.E2.A1IN.01A.11R.A13Q.07,1
TCGA.A2.A1G0.01A.11R.A13Q.07,1
TCGA.E9.A1R6.01A.11R.A14D.07,1
TCGA.A7.A0CH.01A.21R.A00Z.07,1
TCGA.BH.A0HI.01A.11R.A084.07,1
TCGA.BH.A1EX.01A.11R.A13Q.07,1
TCGA.AN.A0FZ.01A.11R.A034.07,1
TCGA.E2.A2P5.01A.11R.A19W.07,1
TCGA.AR.A2LJ.01A.12R.A19W.07,1
TCGA.E2.A570.01A.11R.A29R.07,1
TCGA.AC.A2FO.01A.11R.A180.07,2
TCGA.A7.A26E.01A.11R.A169.07,1
TCGA.E2.A1BC.01A.11R.A12P.07,1
TCGA.BH.A0H6.01A.21R.A056.07,1
TCGA.D8.A1X8.01A.11R.A14M.07,1
TCGA.BH.A0BJ.01A.11R.A056.07,1
TCGA.AR.A1AN.01A.11R.A12P.07,1
TCGA.GM.A2DI.01A.31R.A18M.07,2
TCGA.A8.A0A2.01A.11R.A034.07,1
TCGA.AR.A24O.01A.11R.A169.07,1
TCGA.A2.A0CT.01A.31R.A056.07,1
TCGA.BH.A0H3.01A.11R.A12P.07,1
TCGA.D8.A3Z6.01A.11R.A239.07,1
TCGA.AR.A2LM.01A.11R.A180.07,1
TCGA.GI.A2C8.01A.11R.A16F.07,1
TCGA.A8.A09K.01A.11R.A00Z.07,1
TCGA.D8.A1XU.01A.11R.A14M.07,1
TCGA.BH.A0BM.01A.11R.A056.07,1
TCGA.AN.A0FK.01A.11R.A034.07,1
TCGA.BH.A0DE.01A.11R.A115.07,1
TCGA.LL.A5YL.01A.12R.A29R.07,1
TCGA.EW.A423.01A.11R.A24H.07,1
TCGA.C8.A133.01A.32R.A12D.07,1
TCGA.D8.A27K.01A.11R.A16F.07,1
TCGA.A7.A0CD.01A.11R.A00Z.07,1
TCGA.E9.A1R2.01A.11R.A14D.07,1
TCGA.BH.A1FE.01A.11R.A13Q.07,2
TCGA.A2.A0CQ.01A.21R.A034.07,1
TCGA.A8.A0A4.01A.11R.A00Z.07,1
TCGA.BH.A0BA.01A.11R.A056.07,1
TCGA.BH.A18M.01A.11R.A12D.07,1
TCGA.BH.A18N.01A.11R.A12D.07,1
TCGA.BH.A0DO.01B.11R.A12D.07,1
TCGA.AR.A1AM.01A.41R.A22K.07,1
TCGA.A1.A0SF.01A.11R.A144.07,1
TCGA.AQ.A04L.01B.21R.A10J.07,1
TCGA.A8.A0AD.01A.11R.A056.07,1
TCGA.AR.A24M.01A.11R.A169.07,1
TCGA.BH.A0HX.01A.21R.A056.07,1
TCGA.E2.A1L8.01A.11R.A13Q.07,1
TCGA.EW.A1J1.01A.11R.A13Q.07,1
TCGA.D8.A1XB.01A.11R.A14D.07,1
TCGA.BH.A0E7.01A.11R.A034.07,1
TCGA.BH.A0W5.01A.11R.A109.07,2
TCGA.A2.A25D.01A.12R.A16F.07,2
TCGA.A8.A08Z.01A.21R.A00Z.07,1
TCGA.A2.A0ES.01A.11R.A115.07,1
TCGA.EW.A1PE.01A.11R.A144.07,2
TCGA.D8.A1XG.01A.11R.A14D.07,1
TCGA.BH.A0DZ.01A.11R.A00Z.07,1
TCGA.D8.A1JU.01A.11R.A13Q.07,1
TCGA.C8.A12X.01A.11R.A115.07,1
TCGA.AR.A1AL.01A.21R.A12P.07,1
TCGA.AC.A3BB.01A.21R.A19W.07,1
TCGA.A2.A0EP.01A.52R.A22U.07,2
TCGA.A1.A0SE.01A.11R.A084.07,1
TCGA.AR.A2LE.01A.11R.A180.07,1
TCGA.EW.A2FV.01A.11R.A17B.07,1
TCGA.AC.A2QI.01A.12R.A19W.07,1
TCGA.JL.A3YX.01A.11R.A22U.07,1
TCGA.LL.A50Y.01A.11R.A266.07,1
TCGA.E2.A105.01A.11R.A10J.07,1
TCGA.A8.A07F.01A.11R.A00Z.07,1
TCGA.A8.A09A.01A.11R.A00Z.07,1
TCGA.E9.A24A.01A.11R.A169.07,1
TCGA.A8.A06U.01A.11R.A00Z.07,1
TCGA.BH.A0DV.01A.21R.A12P.07,1
TCGA.A2.A0YL.01A.21R.A109.07,1
TCGA.BH.A0B0.01A.21R.A115.07,1
TCGA.E9.A1NG.01A.21R.A14M.07,1
TCGA.BH.A18J.01A.11R.A12D.07,1
TCGA.A7.A0DB.01C.02R.A277.07,1
TCGA.B6.A0I5.01A.11R.A034.07,1
TCGA.A7.A3RF.01A.11R.A22K.07,1
TCGA.A2.A0CV.01A.31R.A115.07,1
TCGA.A8.A07G.01A.11R.A034.07,1
TCGA.A2.A0CR.01A.11R.A22K.07,2
TCGA.BH.A0HB.01A.11R.A056.07,1
TCGA.E2.A14T.01A.11R.A115.07,1
TCGA.A2.A0T7.01A.21R.A084.07,1
TCGA.C8.A12O.01A.11R.A115.07,1
TCGA.BH.A1ES.01A.11R.A137.07,1
TCGA.E9.A22B.01A.11R.A157.07,1
TCGA.A8.A083.01A.21R.A00Z.07,1
TCGA.EW.A1P5.01A.11R.A144.07,2
TCGA.A2.A0CU.01A.12R.A034.07,1
TCGA.E2.A15P.01A.11R.A115.07,1
TCGA.EW.A1PD.01A.11R.A144.07,1
TCGA.BH.A0W4.01A.11R.A109.07,1
TCGA.GM.A4E0.01A.12R.A266.07,1
TCGA.E2.A10A.01A.21R.A115.07,1
TCGA.AR.A2LO.01A.31R.A18M.07,1
TCGA.A7.A4SA.01A.11R.A266.07,1
TCGA.GM.A3XG.01A.31R.A24H.07,1
TCGA.A8.A07P.01A.11R.A00Z.07,1
TCGA.A2.A0EU.01A.22R.A056.07,1
TCGA.A2.A0YI.01A.31R.A10J.07,1
TCGA.BH.A0W7.01A.11R.A115.07,2
TCGA.C8.A1HE.01A.11R.A13Q.07,1
TCGA.AR.A24T.01A.11R.A169.07,1
TCGA.AC.A23G.01A.11R.A213.07,1
TCGA.E2.A1IG.01A.11R.A144.07,1
TCGA.B6.A0RP.01A.21R.A084.07,1
TCGA.BH.A28Q.01A.11R.A16F.07,1
TCGA.BH.A0GZ.01A.11R.A056.07,1
TCGA.AC.A3OD.01B.06R.A22O.07,2
TCGA.AR.A2LN.01A.21R.A18M.07,1
TCGA.B6.A1KI.01A.11R.A14M.07,1
TCGA.EW.A2FS.01A.11R.A17B.07,1
TCGA.E2.A15E.01A.11R.A12D.07,1
TCGA.BH.A0AY.01A.21R.A00Z.07,1
TCGA.AR.A1AP.01A.11R.A12P.07,1
TCGA.EW.A1IX.01A.12R.A144.07,1
TCGA.AQ.A1H3.01A.31R.A13Q.07,1
TCGA.BH.A1EU.01A.11R.A137.07,2
TCGA.GM.A2DL.01A.11R.A18M.07,1
TCGA.AC.A62Y.01A.11R.A29R.07,1
TCGA.A8.A0A9.01A.11R.A00Z.07,1
TCGA.A1.A0SH.01A.11R.A084.07,1
TCGA.E2.A15G.01A.11R.A12D.07,1
TCGA.GM.A2DC.01A.11R.A18M.07,1
TCGA.AR.A1AX.01A.11R.A12P.07,2
TCGA.A7.A26E.01B.06R.A277.07,1
TCGA.E2.A1LA.01A.11R.A144.07,2
TCGA.D8.A3Z5.01A.41R.A24H.07,1
TCGA.A2.A0T4.01A.31R.A084.07,1
TCGA.AQ.A0Y5.01A.11R.A14M.07,1
TCGA.A8.A09D.01A.11R.A00Z.07,1
TCGA.EW.A1IW.01A.11R.A13Q.07,1
TCGA.A8.A07B.01A.11R.A00Z.07,1
TCGA.BH.A0HK.01A.11R.A056.07,1
TCGA.BH.A1FR.01A.11R.A13Q.07,1
TCGA.BH.A0B5.01A.11R.A12P.07,1
TCGA.BH.A0E9.01B.11R.A115.07,1
TCGA.AQ.A1H2.01A.11R.A13Q.07,1
TCGA.A7.A0DB.01A.11R.A277.07,1
TCGA.E9.A1RI.01A.11R.A169.07,1
TCGA.A2.A0EV.01A.11R.A034.07,1
TCGA.A7.A13H.01A.11R.A22K.07,1
TCGA.BH.A0BQ.01A.21R.A115.07,1
TCGA.BH.A0AZ.01A.21R.A12P.07,1
TCGA.B6.A0IE.01A.11R.A034.07,1
TCGA.A2.A0YF.01A.21R.A109.07,1
TCGA.BH.A0HO.01A.11R.A034.07,1
TCGA.E9.A1NE.01A.21R.A14M.07,2
TCGA.D8.A1JB.01A.11R.A13Q.07,2
TCGA.A8.A06Y.01A.21R.A00Z.07,1
TCGA.B6.A0RV.01A.11R.A084.07,1
TCGA.A2.A0T6.01A.11R.A084.07,1
TCGA.AR.A1AV.01A.21R.A12P.07,1
TCGA.E2.A1BD.01A.11R.A12P.07,1
TCGA.AR.A1AK.01A.21R.A12P.07,2
TCGA.A7.A0CG.01A.12R.A056.07,1
TCGA.E9.A1QZ.01A.21R.A169.07,2
TCGA.BH.A0DH.01A.11R.A084.07,1
TCGA.BH.A0DI.01A.21R.A12P.07,1
TCGA.E2.A3DX.01A.21R.A213.07,2
TCGA.BH.A0DT.01A.21R.A12D.07,1
TCGA.BH.A18F.01A.11R.A12D.07,1
TCGA.E2.A1L6.01A.11R.A13Q.07,1
TCGA.BH.A0BP.01A.11R.A115.07,1
TCGA.A8.A06T.01A.11R.A00Z.07,1
TCGA.BH.A1FG.01A.11R.A13Q.07,1
TCGA.AN.A0FN.01A.11R.A034.07,2
TCGA.E2.A1B1.01A.21R.A12P.07,2
TCGA.A7.A13G.01B.04R.A22O.07,1
TCGA.LL.A440.01A.11R.A24H.07,1
TCGA.E2.A15M.01A.11R.A12D.07,2
TCGA.E2.A14Z.01A.11R.A115.07,2
TCGA.E9.A1N4.01A.11R.A14M.07,1
TCGA.A7.A5ZW.01A.12R.A29R.07,1
TCGA.D8.A140.01A.11R.A115.07,1
TCGA.A8.A07J.01A.11R.A00Z.07,1
TCGA.E2.A1IH.01A.11R.A13Q.07,2
TCGA.A2.A0CK.01A.11R.A22K.07,1
TCGA.C8.A26Z.01A.11R.A16F.07,1
TCGA.BH.A0DS.01A.11R.A056.07,1
TCGA.E2.A1IJ.01A.11R.A144.07,1
TCGA.C8.A12N.01A.11R.A115.07,1
TCGA.D8.A27I.01A.11R.A16F.07,1
TCGA.BH.A0DK.01A.21R.A056.07,1
TCGA.GM.A3NY.01A.11R.A21T.07,1
TCGA.A2.A3KD.01A.12R.A213.07,1
TCGA.A7.A3IZ.01A.11R.A213.07,1
TCGA.AN.A0FS.01A.11R.A034.07,1
TCGA.D8.A1XM.01A.21R.A14M.07,1
TCGA.A7.A26E.01A.11R.A277.07,1
TCGA.B6.A0IC.01A.11R.A034.07,1
TCGA.AC.A3W6.01A.12R.A22K.07,1
TCGA.AC.A5XS.01A.11R.A29R.07,1
TCGA.BH.A0BV.01A.11R.A00Z.07,1
TCGA.AR.A0U3.01A.11R.A109.07,1
TCGA.A7.A0DB.01A.11R.A00Z.07,1
TCGA.AN.A0AS.01A.11R.A00Z.07,1
TCGA.B6.A0IH.01A.11R.A115.07,1
TCGA.A2.A1FZ.01A.51R.A14D.07,1
TCGA.E9.A227.01A.11R.A157.07,1
TCGA.A8.A099.01A.11R.A00Z.07,1
TCGA.A2.A0CP.01A.11R.A034.07,1
TCGA.AC.A3TM.01A.11R.A22K.07,1
TCGA.BH.A0B4.01A.11R.A00Z.07,1
TCGA.EW.A1J2.01A.21R.A13Q.07,1
TCGA.AC.A2FB.01A.11R.A17B.07,2
TCGA.E2.A14Q.01A.11R.A12D.07,1
TCGA.E9.A2JT.01A.22R.A18M.07,2
TCGA.AC.A23E.01A.11R.A157.07,1
TCGA.BH.A0EI.01A.11R.A115.07,1
TCGA.AC.A2FM.01A.11R.A19W.07,1
TCGA.BH.A0DG.01A.21R.A12P.07,1
TCGA.A2.A259.01A.11R.A16F.07,1
TCGA.A2.A04N.01A.11R.A115.07,1
TCGA.E9.A5UP.01A.11R.A28M.07,1
TCGA.E2.A15H.01A.11R.A12D.07,1
TCGA.B6.A0X4.01A.11R.A109.07,1
TCGA.E2.A10F.01A.11R.A10J.07,1
TCGA.BH.A1F5.01A.12R.A13Q.07,1
TCGA.E2.A1IU.01A.11R.A14D.07,1
TCGA.D8.A27L.01A.11R.A16F.07,1
TCGA.B6.A0RN.01A.12R.A084.07,1
TCGA.B6.A0RG.01A.11R.A056.07,1
TCGA.GM.A3XN.01A.12R.A22U.07,1
TCGA.E2.A1B4.01A.11R.A12P.07,1
TCGA.AC.A2FF.01A.11R.A17B.07,1
TCGA.B6.A0WS.01A.11R.A115.07,2
TCGA.A2.A3KC.01A.11R.A213.07,1
TCGA.GM.A3NW.01A.21R.A22K.07,1
TCGA.E2.A10B.01A.11R.A10J.07,1
TCGA.D8.A1XV.01A.11R.A14M.07,1
TCGA.E2.A2P6.01A.11R.A19W.07,1
TCGA.D8.A1XO.01A.11R.A14M.07,1
TCGA.C8.A1HO.01A.11R.A13Q.07,1
TCGA.D8.A4Z1.01A.21R.A266.07,1
TCGA.A2.A0D3.01A.11R.A115.07,1
TCGA.GM.A2DM.01A.11R.A180.07,1
TCGA.BH.A201.01A.11R.A14M.07,1
TCGA.E2.A15I.01A.21R.A137.07,1
TCGA.A7.A426.01A.22R.A24H.07,1
TCGA.A2.A04V.01A.21R.A034.07,1
TCGA.C8.A12Y.01A.11R.A12D.07,1
TCGA.BH.A0DP.01A.21R.A056.07,1
TCGA.BH.A0E1.01A.11R.A056.07,1
TCGA.E2.A1B5.01A.21R.A12P.07,2
TCGA.E2.A15F.01A.11R.A115.07,1
TCGA.A7.A26J.01A.11R.A169.07,1
TCGA.D8.A141.01A.11R.A115.07,2
TCGA.A2.A0SU.01A.11R.A084.07,1
TCGA.BH.A0B6.01A.11R.A19W.07,2
TCGA.D8.A1JP.01A.11R.A13Q.07,1
TCGA.A2.A0EN.01A.13R.A084.07,2
TCGA.B6.A0RO.01A.22R.A084.07,1
TCGA.OL.A66H.01A.11R.A29R.07,1
TCGA.E2.A10E.01A.21R.A10J.07,1
TCGA.BH.A0E2.01A.11R.A056.07,1
TCGA.AC.A2FG.01A.11R.A17B.07,1
TCGA.E2.A1L9.01A.11R.A13Q.07,1
TCGA.A2.A0CO.01A.13R.A22K.07,2
TCGA.E9.A3Q9.01A.11R.A21T.07,1
TCGA.EW.A1J3.01A.11R.A13Q.07,1
TCGA.A7.A26J.01B.02R.A277.07,2
TCGA.AC.A2B8.01A.11R.A17B.07,1
TCGA.A7.A3J0.01A.11R.A213.07,1
TCGA.A2.A0YC.01A.11R.A109.07,1
TCGA.AN.A0FW.01A.11R.A034.07,1
TCGA.E9.A1N5.01A.11R.A14D.07,1
TCGA.MS.A51U.01A.31R.A266.07,1
TCGA.A8.A0A1.01A.11R.A00Z.07,2
TCGA.A8.A08O.01A.21R.A056.07,1
TCGA.A8.A07E.01A.11R.A034.07,1
TCGA.LL.A5YN.01A.11R.A28M.07,2
