,x
TCGA.EW.A2FW.01A.11R.A17B.07,1
TCGA.A2.A0YG.01A.21R.A109.07,1
TCGA.A2.A04R.01A.41R.A109.07,1
TCGA.BH.A0HU.01A.11R.A034.07,1
TCGA.BH.A204.01A.11R.A157.07,1
TCGA.B6.A1KC.01B.11R.A157.07,1
TCGA.E9.A22D.01A.11R.A157.07,2
TCGA.BH.A1FN.01A.11R.A13Q.07,1
TCGA.A8.A092.01A.11R.A00Z.07,1
TCGA.A8.A06N.01A.11R.A00Z.07,1
TCGA.E9.A1NF.01A.11R.A14D.07,1
TCGA.AR.A2LK.01A.11R.A180.07,1
TCGA.AR.A24S.01A.11R.A169.07,1
TCGA.A8.A06Z.01A.11R.A00Z.07,1
TCGA.C8.A27A.01A.11R.A169.07,1
TCGA.A8.A06R.01A.11R.A00Z.07,1
TCGA.E2.A15S.01A.11R.A115.07,1
TCGA.AN.A0FF.01A.11R.A034.07,1
TCGA.AR.A24H.01A.11R.A169.07,1
TCGA.E9.A1RB.01A.11R.A157.07,1
TCGA.D8.A27W.01A.11R.A16F.07,1
TCGA.BH.A0BD.01A.11R.A034.07,1
TCGA.A8.A09Q.01A.11R.A00Z.07,1
TCGA.BH.A0HW.01A.11R.A034.07,1
TCGA.E9.A22A.01A.11R.A157.07,1
TCGA.BH.A0DD.01A.31R.A12P.07,1
TCGA.AN.A0AK.01A.21R.A00Z.07,1
TCGA.A8.A096.01A.11R.A00Z.07,1
TCGA.AQ.A04H.01B.11R.A10J.07,1
TCGA.D8.A1JE.01A.11R.A13Q.07,1
TCGA.EW.A1J6.01A.11R.A13Q.07,1
TCGA.AO.A1KP.01A.11R.A13Q.07,1
TCGA.A2.A0YT.01A.11R.A109.07,1
TCGA.A7.A2KD.01A.31R.A21T.07,1
TCGA.E9.A1RE.01A.11R.A157.07,1
TCGA.E2.A10C.01A.21R.A10J.07,1
TCGA.A2.A0CW.01A.21R.A115.07,1
TCGA.BH.A1FJ.01A.11R.A13Q.07,1
TCGA.A2.A4S3.01A.21R.A266.07,1
TCGA.B6.A0X5.01A.21R.A109.07,1
TCGA.A2.A0YH.01A.11R.A109.07,1
TCGA.E2.A14O.01A.31R.A115.07,1
TCGA.D8.A1JI.01A.11R.A13Q.07,1
TCGA.E2.A15T.01A.11R.A115.07,1
TCGA.EW.A1OY.01A.11R.A144.07,1
TCGA.A1.A0SI.01A.11R.A144.07,1
TCGA.BH.A0BZ.01A.31R.A12P.07,1
TCGA.A2.A1G4.01A.11R.A13Q.07,1
TCGA.A8.A08I.01A.11R.A00Z.07,2
TCGA.EW.A1P0.01A.11R.A144.07,1
TCGA.B6.A0WW.01A.11R.A109.07,1
TCGA.BH.A42T.01A.11R.A24H.07,1
TCGA.A8.A09Z.01A.11R.A00Z.07,1
TCGA.AR.A24R.01A.11R.A169.07,1
TCGA.A8.A084.01A.21R.A00Z.07,1
TCGA.E2.A1L7.01A.11R.A144.07,1
TCGA.A8.A085.01A.11R.A00Z.07,1
TCGA.C8.A274.01A.11R.A16F.07,1
TCGA.BH.A0W3.01A.11R.A109.07,1
TCGA.B6.A1KN.01A.11R.A13Q.07,1
TCGA.A8.A09M.01A.11R.A00Z.07,1
TCGA.BH.A0HY.01A.11R.A056.07,1
TCGA.D8.A1Y2.01A.11R.A157.07,1
TCGA.D8.A1XL.01A.11R.A14M.07,1
TCGA.E2.A15A.01A.11R.A12D.07,1
TCGA.A2.A25E.01A.11R.A169.07,1
TCGA.BH.A0C0.01A.21R.A056.07,2
TCGA.EW.A1PC.01B.11R.A21T.07,1
TCGA.D8.A1X5.01A.11R.A14D.07,1
TCGA.D8.A13Y.01A.11R.A115.07,1
TCGA.BH.A0C3.01A.21R.A12P.07,1
TCGA.AR.A0U2.01A.11R.A109.07,1
TCGA.A8.A09N.01A.11R.A00Z.07,1
TCGA.AR.A0TY.01A.12R.A115.07,1
TCGA.BH.A1FM.01A.11R.A13Q.07,1
TCGA.E9.A226.01A.21R.A157.07,1
TCGA.C8.A12U.01A.11R.A115.07,1
TCGA.E9.A228.01A.31R.A157.07,1
TCGA.C8.A3M8.01A.11R.A213.07,1
TCGA.C8.A26W.01A.11R.A16F.07,1
TCGA.BH.A18L.01A.32R.A12D.07,1
TCGA.A2.A25B.01A.11R.A169.07,1
TCGA.A2.A1FW.01A.11R.A13Q.07,1
TCGA.E9.A249.01A.11R.A169.07,1
TCGA.AR.A1AW.01A.21R.A12P.07,2
TCGA.E2.A56Z.01A.12R.A29R.07,1
TCGA.BH.A0BF.01A.21R.A12P.07,2
TCGA.A8.A081.01A.11R.A00Z.07,1
TCGA.AN.A0FY.01A.11R.A034.07,1
TCGA.B6.A0IN.01A.11R.A034.07,1
TCGA.A8.A075.01A.11R.A084.07,1
TCGA.D8.A1XZ.01A.11R.A14M.07,1
TCGA.D8.A1JT.01A.31R.A13Q.07,1
TCGA.C8.A26V.01A.11R.A16F.07,1
TCGA.C8.A1HM.01A.12R.A137.07,2
TCGA.A8.A095.01A.11R.A00Z.07,1
TCGA.A8.A08S.01A.11R.A034.07,1
TCGA.A8.A082.01A.11R.A00Z.07,1
TCGA.C8.A1HG.01A.11R.A137.07,1
TCGA.D8.A1J8.01A.11R.A13Q.07,1
TCGA.EW.A1OZ.01A.11R.A144.07,1
TCGA.D8.A1Y1.01A.21R.A14M.07,1
TCGA.C8.A130.01A.31R.A115.07,1
TCGA.E9.A54X.01A.11R.A266.07,1
TCGA.BH.A0AU.01A.11R.A12P.07,1
TCGA.BH.A0C7.01B.11R.A115.07,1
TCGA.E9.A1NI.01A.11R.A14D.07,1
TCGA.E9.A1NA.01A.11R.A144.07,1
TCGA.BH.A1F8.01A.11R.A13Q.07,1
TCGA.EW.A1OX.01A.11R.A144.07,1
TCGA.D8.A1J9.01A.11R.A13Q.07,1
TCGA.C8.A1HL.01A.11R.A137.07,1
TCGA.AR.A24N.01A.11R.A169.07,1
TCGA.AO.A1KS.01A.11R.A13Q.07,1
TCGA.B6.A0WV.01A.11R.A109.07,1
TCGA.BH.A1F2.01A.31R.A13Q.07,1
TCGA.AC.A2BM.01A.11R.A21T.07,1
TCGA.D8.A1JJ.01A.31R.A14M.07,1
TCGA.AR.A24K.01A.11R.A169.07,1
TCGA.E2.A14W.01A.11R.A12D.07,1
TCGA.A2.A0T3.01A.21R.A115.07,1
TCGA.E2.A155.01A.11R.A12D.07,1
TCGA.E9.A1R4.01A.21R.A14D.07,1
TCGA.A8.A08G.01A.11R.A00Z.07,1
TCGA.E9.A1R7.01A.11R.A14M.07,1
TCGA.D8.A27N.01A.11R.A16F.07,1
TCGA.BH.A18U.01A.21R.A12D.07,1
TCGA.EW.A1IY.01A.11R.A13Q.07,1
TCGA.E9.A22H.01A.11R.A157.07,1
TCGA.A8.A06Q.01A.11R.A034.07,1
TCGA.D8.A1Y3.01A.11R.A157.07,1
TCGA.A2.A0EY.01A.11R.A034.07,1
TCGA.AN.A0AM.01A.11R.A034.07,1
TCGA.D8.A1XR.01A.11R.A14M.07,1
TCGA.A2.A25C.01A.11R.A169.07,1
TCGA.D8.A1JC.01A.11R.A13Q.07,1
TCGA.A1.A0SN.01A.11R.A144.07,1
TCGA.E2.A15K.01A.11R.A12P.07,1
TCGA.B6.A0IB.01A.11R.A034.07,1
TCGA.A8.A09R.01A.11R.A00Z.07,1
TCGA.C8.A1HN.01A.11R.A137.07,1
TCGA.C8.A12W.01A.11R.A115.07,1
TCGA.A8.A07L.01A.11R.A00Z.07,1
TCGA.A2.A0SW.01A.11R.A084.07,1
TCGA.E2.A109.01A.11R.A10J.07,1
TCGA.C8.A12M.01A.11R.A115.07,1
TCGA.E9.A22E.01A.11R.A157.07,1
TCGA.A2.A1FX.01A.11R.A13Q.07,1
TCGA.A2.A0SV.01A.11R.A084.07,1
TCGA.D8.A1XS.01A.11R.A14M.07,1
TCGA.A8.A07W.01A.11R.A00Z.07,1
TCGA.A7.A13F.01A.11R.A12P.07,1
TCGA.D8.A1X7.01A.11R.A14M.07,1
TCGA.D8.A1X6.01A.11R.A14M.07,1
TCGA.BH.A0H0.01A.11R.A056.07,1
TCGA.A8.A06O.01A.11R.A00Z.07,1
TCGA.A8.A079.01A.21R.A00Z.07,1
TCGA.E9.A2JS.01A.11R.A180.07,1
TCGA.BH.A202.01A.11R.A14M.07,1
TCGA.E9.A5UO.01A.11R.A28M.07,1
TCGA.LL.A5YM.01A.11R.A28M.07,1
TCGA.D8.A1XF.01A.11R.A14D.07,1
TCGA.D8.A27R.01A.11R.A16F.07,1
TCGA.AN.A0AJ.01A.11R.A00Z.07,1
TCGA.A7.A0CJ.01A.21R.A00Z.07,1
TCGA.GM.A2DO.01A.11R.A18M.07,2
TCGA.A8.A09I.01A.22R.A034.07,1
TCGA.D8.A1JD.01A.11R.A13Q.07,1
TCGA.BH.A209.01A.11R.A157.07,2
TCGA.A2.A04Y.01A.21R.A034.07,1
TCGA.AQ.A54O.01A.11R.A266.07,1
TCGA.AO.A1KT.01A.11R.A13Q.07,1
TCGA.A2.A0D4.01A.11R.A00Z.07,1
TCGA.A8.A076.01A.21R.A00Z.07,1
TCGA.E9.A1NF.11A.73R.A14D.07,1
TCGA.BH.A1F8.11B.21R.A13Q.07,1
TCGA.BH.A0DD.11A.23R.A12P.07,1
TCGA.BH.A1F2.11A.32R.A13Q.07,1
TCGA.E2.A1L7.11A.33R.A144.07,1
TCGA.BH.A0C3.11A.23R.A12P.07,1
TCGA.BH.A0AU.11A.11R.A12P.07,1
TCGA.BH.A1FM.11B.23R.A13Q.07,1
TCGA.E2.A15K.11A.13R.A12P.07,1
TCGA.BH.A209.11A.42R.A157.07,1
TCGA.BH.A18U.11A.23R.A12D.07,1
TCGA.E9.A1R7.11A.42R.A14M.07,1
TCGA.BH.A1FN.11A.34R.A13Q.07,1
TCGA.BH.A0C0.11A.21R.A089.07,1
TCGA.BH.A18L.11A.42R.A12D.07,1
TCGA.BH.A0BZ.11A.61R.A12P.07,1
TCGA.A7.A13F.11A.42R.A12P.07,1
TCGA.E9.A1RB.11A.33R.A157.07,1
TCGA.BH.A204.11A.53R.A157.07,1
TCGA.E9.A1NA.11A.33R.A144.07,1
TCGA.BH.A1FJ.11B.42R.A13Q.07,1
TCGA.E2.A15A.06A.11R.A12D.07,1
TCGA.E2.A15K.06A.11R.A12P.07,1
