,x
TCGA.EW.A1P7.01A.21R.A144.07,1
TCGA.AC.A2FK.01A.12R.A180.07,2
TCGA.A2.A3XW.01A.11R.A239.07,2
TCGA.BH.A28O.01A.11R.A22K.07,2
TCGA.LL.A441.01A.11R.A24H.07,1
TCGA.A2.A4RY.01A.31R.A266.07,2
TCGA.AC.A3YI.01A.21R.A239.07,2
TCGA.A2.A25A.01A.12R.A16F.07,2
TCGA.A2.A0CL.01A.11R.A115.07,1
TCGA.A8.A08H.01A.21R.A00Z.07,2
TCGA.AR.A2LQ.01A.22R.A18M.07,2
TCGA.AR.A2LH.01A.31R.A18M.07,2
TCGA.AO.A1KO.01A.31R.A13Q.07,2
TCGA.A2.A1G6.01A.11R.A13Q.07,2
TCGA.AR.A1AO.01A.11R.A12P.07,2
TCGA.B6.A0RQ.01A.11R.A115.07,2
TCGA.E2.A108.01A.13R.A10J.07,1
TCGA.BH.A1FU.01A.11R.A14D.07,2
TCGA.A2.A0YK.01A.22R.A109.07,2
TCGA.GM.A2DD.01A.11R.A180.07,2
TCGA.BH.A42U.01A.12R.A24H.07,2
TCGA.A1.A0SB.01A.11R.A144.07,2
TCGA.BH.A208.01A.11R.A157.07,2
TCGA.EW.A1PG.01A.11R.A144.07,2
TCGA.D8.A1XW.01A.11R.A14M.07,2
TCGA.BH.A1FU.11A.23R.A14D.07,2
TCGA.BH.A208.11A.51R.A157.07,2
